Trial;Time;Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GlobalCameraPosition;CameraForward;GazeStatus;CombinedGazeForward;CombinedGazePosition;CombinedGazeForwardGlobal;CombinedGazePositionGlobal;GazeHitObject;GazeHitPosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
1;10/31/2024 10:59:01 AM;88909;1001311435075408474;63865969141464;(-1.757, 0.750, -1.408);(-0.005, 0.471, 0.006, 0.882);(27.243, 1.500, 943.592);(0.831, 0.014, 0.556);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
1;10/31/2024 10:59:01 AM;88929;1001311435175275945;63865969141464;(-1.757, 0.750, -1.408);(-0.005, 0.471, 0.006, 0.882);(27.243, 1.500, 943.592);(0.831, 0.014, 0.556);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
1;10/31/2024 10:59:01 AM;88949;1001311435275320431;63865969141464;(-1.757, 0.750, -1.408);(-0.005, 0.471, 0.006, 0.882);(27.243, 1.500, 943.592);(0.831, 0.014, 0.556);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
1;10/31/2024 10:59:01 AM;88969;1001311435375370395;63865969141464;(-1.757, 0.750, -1.408);(-0.005, 0.471, 0.006, 0.882);(27.243, 1.500, 943.592);(0.831, 0.014, 0.556);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
1;10/31/2024 10:59:01 AM;88989;1001311435475421323;63865969141464;(-1.757, 0.750, -1.408);(-0.005, 0.471, 0.006, 0.882);(27.243, 1.500, 943.592);(0.831, 0.014, 0.556);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
1;10/31/2024 10:59:01 AM;89009;1001311435575464895;63865969141485;(-1.757, 0.750, -1.408);(-0.005, 0.471, 0.006, 0.882);(27.243, 1.500, 943.592);(0.831, 0.015, 0.556);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
1;10/31/2024 10:59:01 AM;89029;1001311435675498714;63865969141578;(-1.755, 0.750, -1.409);(-0.006, 0.470, 0.006, 0.883);(27.245, 1.500, 943.591);(0.829, 0.017, 0.558);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
1;10/31/2024 10:59:01 AM;89049;1001311435775527811;63865969141679;(-1.753, 0.750, -1.409);(-0.006, 0.469, 0.007, 0.883);(27.247, 1.500, 943.591);(0.828, 0.017, 0.560);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
1;10/31/2024 10:59:01 AM;89069;1001311435875561456;63865969141785;(-1.752, 0.750, -1.409);(-0.005, 0.469, 0.007, 0.883);(27.248, 1.500, 943.591);(0.829, 0.015, 0.559);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
1;10/31/2024 10:59:01 AM;89089;1001311435975600763;63865969141881;(-1.753, 0.749, -1.410);(-0.004, 0.470, 0.006, 0.883);(27.247, 1.500, 943.591);(0.829, 0.013, 0.559);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
1;10/31/2024 10:59:01 AM;89109;1001311436075639659;63865969141980;(-1.755, 0.749, -1.409);(-0.004, 0.471, 0.005, 0.882);(27.245, 1.500, 943.591);(0.831, 0.012, 0.557);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
1;10/31/2024 10:59:02 AM;89129;1001311436175669878;63865969142081;(-1.756, 0.748, -1.409);(-0.004, 0.471, 0.004, 0.882);(27.244, 1.500, 943.591);(0.832, 0.012, 0.555);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
1;10/31/2024 10:59:02 AM;89149;1001311436275690913;63865969142179;(-1.758, 0.747, -1.409);(-0.005, 0.472, 0.005, 0.882);(27.242, 1.500, 943.591);(0.832, 0.013, 0.555);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
1;10/31/2024 10:59:02 AM;89169;1001311436375711801;63865969142280;(-1.761, 0.747, -1.409);(-0.005, 0.472, 0.005, 0.882);(27.239, 1.500, 943.591);(0.832, 0.013, 0.555);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
1;10/31/2024 10:59:02 AM;89189;1001311436475740328;63865969142381;(-1.763, 0.746, -1.409);(-0.004, 0.472, 0.004, 0.882);(27.237, 1.500, 943.591);(0.832, 0.012, 0.555);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
1;10/31/2024 10:59:02 AM;89209;1001311436575771844;63865969142479;(-1.765, 0.745, -1.409);(-0.004, 0.473, 0.004, 0.881);(27.235, 1.500, 943.591);(0.833, 0.011, 0.553);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
