Trial;Time;Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GlobalCameraPosition;CameraForward;GazeStatus;CombinedGazeForward;CombinedGazePosition;CombinedGazeForwardGlobal;CombinedGazePositionGlobal;GazeHitObject;GazeHitPosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
0;7/6/2023 2:26:24 PM;104447620;1000522499736179649;63824250384445;(-3.379, 0.998, 3.589);(0.055, -0.446, 0.019, 0.893);(711.621, 1.813, 179.589);(-0.794, -0.115, 0.597);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:26:24 PM;104447640;1000522499836214821;63824250384446;(-3.379, 0.998, 3.589);(0.055, -0.446, 0.019, 0.893);(711.621, 1.813, 179.589);(-0.794, -0.115, 0.597);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:26:24 PM;104447660;1000522499936247604;63824250384446;(-3.379, 0.998, 3.589);(0.055, -0.446, 0.019, 0.893);(711.621, 1.813, 179.589);(-0.794, -0.115, 0.597);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:26:24 PM;104447680;1000522500036287239;63824250384446;(-3.379, 0.998, 3.589);(0.055, -0.446, 0.019, 0.893);(711.621, 1.813, 179.589);(-0.794, -0.115, 0.597);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:26:24 PM;104447700;1000522500136323697;63824250384446;(-3.379, 0.998, 3.589);(0.055, -0.446, 0.019, 0.893);(711.621, 1.813, 179.589);(-0.794, -0.115, 0.597);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:26:24 PM;104447720;1000522500236358075;63824250384536;(-3.379, 0.999, 3.587);(0.055, -0.446, 0.019, 0.893);(711.621, 2.234, 179.587);(-0.794, -0.115, 0.597);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:26:24 PM;104447740;1000522500336400993;63824250384638;(-3.379, 0.998, 3.590);(0.055, -0.446, 0.019, 0.893);(711.621, 2.518, 179.590);(-0.794, -0.115, 0.597);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:26:24 PM;104447760;1000522500436440354;63824250384736;(-3.379, 0.997, 3.592);(0.055, -0.446, 0.019, 0.893);(711.621, 2.780, 179.592);(-0.794, -0.115, 0.597);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:26:24 PM;104447780;1000522500536477722;63824250384837;(-3.379, 0.997, 3.592);(0.055, -0.446, 0.019, 0.893);(711.621, 2.910, 179.592);(-0.794, -0.115, 0.596);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
0;7/6/2023 2:26:24 PM;104447800;1000522500636520838;63824250384938;(-3.379, 0.997, 3.592);(0.055, -0.446, 0.019, 0.893);(711.621, 2.839, 179.592);(-0.794, -0.115, 0.597);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
