Trial;Time;Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GlobalCameraPosition;CameraForward;GazeStatus;CombinedGazeForward;CombinedGazePosition;CombinedGazeForwardGlobal;CombinedGazePositionGlobal;GazeHitObject;GazeHitPosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
13;8/17/2023 5:03:49 PM;489495;1000002861231300839;63827888629629;(-3.502, 0.662, 2.660);(-0.003, -0.422, 0.156, 0.893);(671.038, 1.600, 378.655);(-0.754, -0.126, 0.644);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
13;8/17/2023 5:03:49 PM;489515;1000002861331389752;63827888629629;(-3.502, 0.662, 2.660);(-0.003, -0.422, 0.156, 0.893);(671.038, 1.600, 378.655);(-0.754, -0.126, 0.644);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
13;8/17/2023 5:03:49 PM;489535;1000002861431468288;63827888629629;(-3.502, 0.662, 2.660);(-0.003, -0.422, 0.156, 0.893);(671.038, 1.600, 378.655);(-0.754, -0.126, 0.644);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
13;8/17/2023 5:03:49 PM;489555;1000002861531475353;63827888629629;(-3.502, 0.662, 2.660);(-0.003, -0.422, 0.156, 0.893);(671.038, 1.600, 378.655);(-0.754, -0.126, 0.644);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
13;8/17/2023 5:03:49 PM;489575;1000002861631482903;63827888629629;(-3.502, 0.662, 2.660);(-0.003, -0.422, 0.156, 0.893);(671.038, 1.600, 378.655);(-0.754, -0.126, 0.644);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
13;8/17/2023 5:03:49 PM;489595;1000002861731562035;63827888629703;(-3.502, 0.662, 2.660);(-0.003, -0.422, 0.156, 0.893);(671.038, 1.600, 378.655);(-0.754, -0.126, 0.644);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
13;8/17/2023 5:03:49 PM;489615;1000002861831636561;63827888629815;(-3.502, 0.662, 2.660);(-0.003, -0.422, 0.155, 0.893);(671.038, 1.600, 378.655);(-0.755, -0.126, 0.644);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
13;8/17/2023 5:03:49 PM;489635;1000002861931705364;63827888629905;(-3.502, 0.662, 2.660);(-0.003, -0.422, 0.155, 0.893);(671.038, 1.600, 378.655);(-0.755, -0.125, 0.643);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
13;8/17/2023 5:03:49 PM;489655;1000002862031702618;63827888629995;(-3.502, 0.662, 2.660);(-0.003, -0.422, 0.155, 0.893);(671.038, 1.600, 378.655);(-0.755, -0.125, 0.643);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
13;8/17/2023 5:03:50 PM;489675;1000002862131700960;63827888630095;(-3.502, 0.662, 2.660);(-0.003, -0.422, 0.155, 0.893);(671.038, 1.600, 378.655);(-0.755, -0.125, 0.643);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
13;8/17/2023 5:03:50 PM;489695;1000002862231769498;63827888630193;(-3.502, 0.662, 2.660);(-0.003, -0.423, 0.155, 0.893);(671.038, 1.600, 378.655);(-0.756, -0.125, 0.643);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
13;8/17/2023 5:03:50 PM;489715;1000002862331833986;63827888630293;(-3.502, 0.662, 2.660);(-0.003, -0.423, 0.155, 0.893);(671.038, 1.600, 378.655);(-0.756, -0.126, 0.642);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
13;8/17/2023 5:03:50 PM;489735;1000002862431894224;63827888630394;(-3.502, 0.662, 2.660);(-0.003, -0.423, 0.156, 0.893);(671.038, 1.600, 378.655);(-0.756, -0.126, 0.642);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
13;8/17/2023 5:03:50 PM;489755;1000002862531884052;63827888630496;(-3.502, 0.662, 2.660);(-0.003, -0.423, 0.155, 0.893);(671.038, 1.600, 378.655);(-0.756, -0.126, 0.642);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
13;8/17/2023 5:03:50 PM;489775;1000002862631943155;63827888630600;(-3.502, 0.662, 2.660);(-0.003, -0.423, 0.155, 0.893);(671.038, 1.600, 378.655);(-0.756, -0.126, 0.642);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
13;8/17/2023 5:03:50 PM;489795;1000002862731998425;63827888630701;(-3.502, 0.662, 2.660);(-0.003, -0.423, 0.155, 0.893);(671.038, 1.600, 378.655);(-0.757, -0.126, 0.641);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
13;8/17/2023 5:03:50 PM;489815;1000002862832050432;63827888630802;(-3.502, 0.662, 2.660);(-0.003, -0.424, 0.155, 0.893);(671.038, 1.600, 378.655);(-0.757, -0.126, 0.641);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
13;8/17/2023 5:03:50 PM;489835;1000002862932098491;63827888630894;(-3.502, 0.662, 2.660);(-0.003, -0.424, 0.155, 0.893);(671.038, 1.600, 378.655);(-0.757, -0.126, 0.641);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
13;8/17/2023 5:03:50 PM;489855;1000002863032079608;63827888630995;(-3.502, 0.662, 2.660);(-0.003, -0.424, 0.154, 0.892);(671.038, 1.600, 378.655);(-0.757, -0.126, 0.641);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
13;8/17/2023 5:03:51 PM;489875;1000002863132131131;63827888631096;(-3.502, 0.662, 2.660);(-0.003, -0.424, 0.155, 0.892);(671.038, 1.600, 378.655);(-0.758, -0.126, 0.640);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
13;8/17/2023 5:03:51 PM;489895;1000002863232179989;63827888631198;(-3.502, 0.662, 2.660);(-0.003, -0.424, 0.155, 0.892);(671.038, 1.600, 378.655);(-0.758, -0.127, 0.640);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
13;8/17/2023 5:03:51 PM;489915;1000002863332222943;63827888631300;(-3.502, 0.662, 2.660);(-0.002, -0.424, 0.155, 0.892);(671.038, 1.600, 378.655);(-0.758, -0.127, 0.640);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
13;8/17/2023 5:03:51 PM;489935;1000002863432263492;63827888631395;(-3.502, 0.662, 2.660);(-0.002, -0.424, 0.154, 0.892);(671.038, 1.600, 378.655);(-0.758, -0.127, 0.640);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
13;8/17/2023 5:03:51 PM;489955;1000002863532228677;63827888631493;(-3.502, 0.662, 2.660);(-0.002, -0.425, 0.154, 0.892);(671.038, 1.600, 378.655);(-0.758, -0.127, 0.640);INVALID;;;;;;;;INVALID;;;;;;INVALID;;;;;;;
