
LogTime;TimeSinceGameStart;RouteName;RouteNumber;CameraPosition;CameraForward;CameraRotation (in quaternion);CameraRotation (in eulerAngles)
LogTime;TimeSinceGameStart;RouteName;RouteNumber;CameraPosition;CameraForward;CameraRotation (in quaternion);CameraRotation (in eulerAngles)
LogTime;TimeSinceGameStart;RouteName;RouteNumber;CameraPosition;CameraForward;CameraRotation (in quaternion);CameraRotation (in eulerAngles)
LogTime;TimeSinceGameStart;RouteName;RouteNumber;CameraPosition;CameraForward;CameraRotation (in quaternion);CameraRotation (in eulerAngles)
63865968961891;18.88;Route1;1;(27.3, 1.5, 943.6);(0.9, 0.0, 0.3);(0.0, 0.6, 0.0, 0.8);(0.4, 71.6, 355.4)
63865968961905;18.9;Route1;1;(27.3, 1.5, 943.6);(0.9, 0.0, 0.3);(0.0, 0.6, 0.0, 0.8);(0.4, 71.7, 355.5)
63865968961925;18.92;Route1;1;(27.3, 1.5, 943.6);(0.9, 0.0, 0.3);(0.0, 0.6, 0.0, 0.8);(0.5, 71.7, 355.6)
63865968961947;18.94;Route1;1;(27.3, 1.5, 943.6);(1.0, 0.0, 0.3);(0.0, 0.6, 0.0, 0.8);(0.4, 71.8, 355.5)
63865968961973;18.96;Route1;1;(27.3, 1.5, 943.6);(1.0, 0.0, 0.3);(0.0, 0.6, 0.0, 0.8);(0.3, 72.0, 355.3)
63865968961982;18.98;Route1;1;(27.3, 1.5, 943.6);(1.0, 0.0, 0.3);(0.0, 0.6, 0.0, 0.8);(0.3, 72.1, 355.2)
63865968962008;19;Route1;1;(27.3, 1.5, 943.6);(1.0, 0.0, 0.3);(0.0, 0.6, 0.0, 0.8);(0.1, 72.3, 355.0)
63865968962028;19.02;Route1;1;(27.3, 1.5, 943.6);(1.0, 0.0, 0.3);(0.0, 0.6, 0.0, 0.8);(0.1, 72.5, 354.9)
63865968962043;19.04;Route1;1;(27.3, 1.5, 943.6);(1.0, 0.0, 0.3);(0.0, 0.6, 0.0, 0.8);(0.1, 72.6, 354.9)
63865968962063;19.06;Route1;1;(27.3, 1.5, 943.6);(1.0, 0.0, 0.3);(0.0, 0.6, 0.0, 0.8);(0.2, 72.7, 354.9)
63865968962086;19.08;Route1;1;(27.3, 1.5, 943.6);(1.0, 0.0, 0.3);(0.0, 0.6, 0.0, 0.8);(0.2, 72.7, 355.1)
63865968962113;19.1;Route1;1;(27.3, 1.5, 943.6);(1.0, 0.0, 0.3);(0.0, 0.6, 0.0, 0.8);(0.3, 72.8, 355.1)
63865968962125;19.12;Route1;1;(27.3, 1.5, 943.6);(1.0, 0.0, 0.3);(0.0, 0.6, 0.0, 0.8);(0.3, 72.8, 355.1)
63865968962149;19.14;Route1;1;(27.3, 1.5, 943.6);(1.0, 0.0, 0.3);(0.0, 0.6, 0.0, 0.8);(0.3, 72.8, 355.1)
63865968962169;19.16;Route1;1;(27.3, 1.5, 943.6);(1.0, 0.0, 0.3);(0.0, 0.6, 0.0, 0.8);(0.2, 72.8, 355.2)
63865968962184;19.18;Route1;1;(27.3, 1.5, 943.6);(1.0, 0.0, 0.3);(0.0, 0.6, 0.0, 0.8);(0.3, 72.7, 355.3)
63865968962204;19.2;Route1;1;(27.3, 1.5, 943.6);(1.0, 0.0, 0.3);(0.0, 0.6, 0.0, 0.8);(0.3, 72.7, 355.2)
63865968962228;19.22;Route1;1;(27.3, 1.5, 943.6);(1.0, 0.0, 0.3);(0.0, 0.6, 0.0, 0.8);(0.3, 72.5, 355.3)
63865968962253;19.24;Route1;1;(27.3, 1.5, 943.6);(1.0, 0.0, 0.3);(0.0, 0.6, 0.0, 0.8);(0.3, 72.5, 355.3)
63865968962273;19.26;Route1;1;(27.3, 1.5, 943.6);(1.0, 0.0, 0.3);(0.0, 0.6, 0.0, 0.8);(0.2, 72.5, 355.3)
63865968962288;19.28;Route1;1;(27.3, 1.5, 943.6);(1.0, 0.0, 0.3);(0.0, 0.6, 0.0, 0.8);(0.3, 72.6, 355.3)
63865968962307;19.3;Route1;1;(27.3, 1.5, 943.6);(1.0, 0.0, 0.3);(0.0, 0.6, 0.0, 0.8);(0.2, 72.5, 355.4)
63865968962330;19.32;Route1;1;(27.3, 1.5, 943.6);(1.0, 0.0, 0.3);(0.0, 0.6, 0.0, 0.8);(0.2, 72.6, 355.5)
63865968962355;19.34;Route1;1;(27.3, 1.5, 943.6);(1.0, 0.0, 0.3);(0.0, 0.6, 0.0, 0.8);(0.0, 72.7, 355.4)
63865968962364;19.36;Route1;1;(27.3, 1.5, 943.6);(1.0, 0.0, 0.3);(0.0, 0.6, 0.0, 0.8);(360.0, 72.7, 355.3)
63865968962393;19.38;Route1;1;(27.3, 1.5, 943.6);(1.0, 0.0, 0.3);(0.0, 0.6, 0.0, 0.8);(360.0, 72.9, 355.1)
